workclass:Private, Precision:0.79, Recall:0.61, Fbeta:0.69
occupation:Exec-managerial, Precision:0.78, Recall:0.82, Fbeta:0.8
occupation:Sales, Precision:0.72, Recall:0.59, Fbeta:0.65
occupation:Adm-clerical, Precision:0.64, Recall:0.53, Fbeta:0.58
occupation:Other-service, Precision:1.0, Recall:0.23, Fbeta:0.37
occupation:Tech-support, Precision:0.81, Recall:0.72, Fbeta:0.76
occupation:Transport-moving, Precision:0.88, Recall:0.39, Fbeta:0.55
occupation:Machine-op-inspct, Precision:0.67, Recall:0.11, Fbeta:0.18
occupation:Handlers-cleaners, Precision:1.0, Recall:0.28, Fbeta:0.43
occupation:Protective-serv, Precision:0.72, Recall:0.5, Fbeta:0.59
occupation:Farming-fishing, Precision:0.9, Recall:0.33, Fbeta:0.49
occupation:Priv-house-serv, Precision:1.0, Recall:1.0, Fbeta:1.0
occupation:Armed-Forces, Precision:1.0, Recall:1.0, Fbeta:1.0
relationship:Husband, Precision:0.75, Recall:0.68, Fbeta:0.71
relationship:Not-in-family, Precision:0.92, Recall:0.35, Fbeta:0.5
relationship:Own-child, Precision:0.67, Recall:0.5, Fbeta:0.57
relationship:Unmarried, Precision:1.0, Recall:0.27, Fbeta:0.43
relationship:Other-relative, Precision:0.67, Recall:0.5, Fbeta:0.57
relationship:Wife, Precision:0.77, Recall:0.7, Fbeta:0.73
race:White, Precision:0.77, Recall:0.64, Fbeta:0.7
race:Asian-Pac-Islander, Precision:0.74, Recall:0.58, Fbeta:0.65
race:Black, Precision:0.7, Recall:0.48, Fbeta:0.57
race:Amer-Indian-Eskimo, Precision:1.0, Recall:0.5, Fbeta:0.67
race:Other, Precision:1.0, Recall:0.67, Fbeta:0.8
sex:Male, Precision:0.76, Recall:0.65, Fbeta:0.7
sex:Female, Precision:0.78, Recall:0.52, Fbeta:0.62
native-country:United-States, Precision:0.76, Recall:0.63, Fbeta:0.69
native-country:South, Precision:0.0, Recall:1.0, Fbeta:0.0
native-country:Mexico, Precision:0.0, Recall:0.0, Fbeta:1.0
native-country:Philippines, Precision:1.0, Recall:0.78, Fbeta:0.88
native-country:India, Precision:0.62, Recall:0.71, Fbeta:0.67
native-country:Germany, Precision:0.7, Recall:0.64, Fbeta:0.67
native-country:Guatemala, Precision:1.0, Recall:1.0, Fbeta:1.0
native-country:England, Precision:1.0, Recall:0.75, Fbeta:0.86
native-country:Laos, Precision:1.0, Recall:1.0, Fbeta:1.0
native-country:Italy, Precision:1.0, Recall:0.5, Fbeta:0.67
native-country:Canada, Precision:1.0, Recall:0.6, Fbeta:0.75
native-country:El-Salvador, Precision:1.0, Recall:0.75, Fbeta:0.86
native-country:Nicaragua, Precision:1.0, Recall:0.0, Fbeta:0.0
native-country:Japan, Precision:1.0, Recall:0.0, Fbeta:0.0
native-country:Cuba, Precision:1.0, Recall:0.83, Fbeta:0.91
native-country:Ecuador, Precision:1.0, Recall:1.0, Fbeta:1.0
native-country:Dominican-Republic, Precision:1.0, Recall:1.0, Fbeta:1.0
native-country:Taiwan, Precision:1.0, Recall:0.67, Fbeta:0.8
native-country:Haiti, Precision:1.0, Recall:1.0, Fbeta:1.0
native-country:Hong, Precision:1.0, Recall:1.0, Fbeta:1.0
native-country:China, Precision:0.67, Recall:0.67, Fbeta:0.67
native-country:Peru, Precision:1.0, Recall:1.0, Fbeta:1.0
native-country:Vietnam, Precision:1.0, Recall:0.0, Fbeta:0.0
native-country:Columbia, Precision:0.33, Recall:1.0, Fbeta:0.5
native-country:Puerto-Rico, Precision:0.5, Recall:0.67, Fbeta:0.57
native-country:Jamaica, Precision:1.0, Recall:0.0, Fbeta:0.0
native-country:Thailand, Precision:1.0, Recall:1.0, Fbeta:1.0
native-country:Iran, Precision:0.8, Recall:1.0, Fbeta:0.89
native-country:Honduras, Precision:1.0, Recall:1.0, Fbeta:1.0
native-country:Cambodia, Precision:1.0, Recall:0.0, Fbeta:0.0
native-country:Poland, Precision:1.0, Recall:0.0, Fbeta:0.0
native-country:Hungary, Precision:1.0, Recall:0.0, Fbeta:0.0
native-country:Greece, Precision:0.0, Recall:0.0, Fbeta:1.0
native-country:Ireland, Precision:1.0, Recall:0.0, Fbeta:0.0
native-country:Yugoslavia, Precision:1.0, Recall:0.33, Fbeta:0.5
native-country:Outlying-US(Guam-USVI-etc), Precision:1.0, Recall:1.0, Fbeta:1.0
native-country:France, Precision:1.0, Recall:1.0, Fbeta:1.0
native-country:Portugal, Precision:1.0, Recall:1.0, Fbeta:1.0
native-country:Scotland, Precision:1.0, Recall:1.0, Fbeta:1.0
native-country:Trinadad&Tobago, Precision:1.0, Recall:1.0, Fbeta:1.0
